Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Wu Yajun,18.3,China,real estate,100,57,"Beijing, China",China,Divorced,1,Northwestern Polytechnical University,TRUE
Cai Kui,10.4,China,real estate,216,58,"Chengdu, China",China,Divorced,1,"Bachelor of Arts/Science, Nanjing University of Aeronautics & Astronautics",TRUE
Shi Yuzhu,6.3,China,"online games, investments",421,58,"Shanghai, China",China,Divorced,1,"Master of Science, Shenzhen University; Bachelor of Arts/Science, Zhejiang University",TRUE
Dulce Pugliese de Godoy Bueno,6,Brazil,"hospitals, health care",451,73,"Sao Paulo, Brazil",Brazil,Divorced,1,"Doctorate, The University of Texas at Austin; Medical Doctor, Universidade Federal do Rio de Janeiro",TRUE
Hansjoerg Wyss,6,Switzerland,medical devices,451,86,"Wilson, Wyoming",Switzerland,Divorced,1,"Master of Business Administration, Harvard University; Master of Science, Swiss Federal Institute of Technology",TRUE
Piero Ferrari,4.1,Italy,automobiles,705,75,"Modena, Italy",Italy,Divorced,1,,FALSE
Julio Ponce Lerou,4.1,Chile,fertilizer,705,75,"Santiago, Chile",Chile,Divorced,1,,TRUE
H. Fisk Johnson,3.5,United States,cleaning products,859,62,"Racine, Wisconsin",United States,Divorced,1,"Bachelor of Arts/Science, Cornell University; Doctorate, Cornell University; Master of Science, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",FALSE
Michael Rubin,3.5,United States,online retail,859,48,"Bryn Mawr, Pennsylvania",United States,Divorced,1,"Drop Out, Villanova University",TRUE
Joao Moreira Salles,2.3,Brazil,"banking, minerals",1362,59,"Rio de Janeiro, Brazil",Brazil,Divorced,1,,FALSE
Krit Ratanarak,2.3,Thailand,"media, real estate",1362,75,"Bangkok, Thailand",Thailand,Divorced,1,,FALSE
Yusaku Maezawa,1.9,Japan,online retail,1664,45,"Chiba, Japan",Japan,Divorced,1,,TRUE
Leslie Alexander,1.8,United States,sports team,1750,77,"Houston, Texas",United States,Divorced,1,"Bachelor of Arts/Science, New York University; Doctor of Jurisprudence, Western State University College of Law",TRUE
Lee Boo-jin,1.8,South Korea,Samsung,1750,50,"Seoul, South Korea",South Korea,Divorced,1,"Bachelor of Arts/Science, Yonsei University",FALSE
Sue Gross,1.5,United States,investments,2035,71,"Laguna Beach, California",United States,Divorced,1,"Associate in Arts/Science, Saddleback College",FALSE
Lirio Parisotto,1.5,Brazil,investments,2035,67,"Manaus, Brazil",Brazil,Divorced,1,,TRUE
Manfredi Lefebvre d'Ovidio,1.1,Italy,cruises,2524,68,"Monte Carlo, Monaco",Italy,Divorced,1,"Drop Out, La Sapienza University of Rome",FALSE
Daniel Kretinsky,4.1,Czechia,"energy, investments",705,45,"Prague, Czechia",Czechia,In Relationship,1,"Law Degree, Masaryk University",TRUE
Anna Kasprzak,1.3,Denmark,shoes,2263,31,"Haderslev, Denmark",Denmark,In Relationship,1,,FALSE
Tyler Perry,1,United States,"movies, television",2674,51,"Atlanta, Georgia",United States,In Relationship,1,,TRUE
Larry Page,91.5,United States,Google,8,48,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan",TRUE
Vagit Alekperov,24.9,Russia,oil,66,70,"Moscow, Russia",Russia,Married,1,"Bachelor of Science in Engineering, Azerbaijan Institute of Oil and Chemistry",TRUE
Jiang Rensheng & family,24.4,China,vaccines,69,67,"Chongqing, China",China,Married,1,"Associate in Arts/Science, Guilin Medical University",TRUE
Shiv Nadar,23.5,India,software services,71,75,"Delhi, India",India,Married,1,"Bachelor of Arts/Science, PSG College of Technology",TRUE
Stefan Quandt,21.6,Germany,BMW,81,54,"Frankfurt, Germany",Germany,Married,1,"Associate in Arts/Science, Technical University of Karlsruhe",FALSE
Sun Piaoyang,18.9,China,pharmaceuticals,96,62,"Lianyungang, China",China,Married,1,"Bachelor of Arts/Science, China Pharmaceutical University; Doctorate, Nanjing University",TRUE
Wang Jianlin,14.8,China,real estate,137,66,"Beijing, China",China,Married,1,Liaoning University,TRUE
Eduardo Saverin,14.6,Brazil,Facebook,140,39,"Singapore, Singapore",Brazil,Married,1,"Bachelor of Arts/Science, Harvard University",TRUE
Liang Wengen,14.1,China,construction equipment,148,64,"Changsha, China",China,Married,1,"Bachelor of Arts/Science, Central South University",TRUE
Iskander Makhmudov,9.7,Russia,"mining, metals, machinery",234,57,"Moscow, Russia",Russia,Married,1,"Bachelor of Arts/Science, Tashkent State University",TRUE
Zong Qinghou,8.8,China,beverages,269,75,"Hangzhou, China",China,Married,1,,TRUE
Niels Peter Louis-Hansen,8.2,Denmark,medical devices,304,73,"Humlebaek, Denmark",Denmark,Married,1,,FALSE
Nicky Oppenheimer & family,8,South Africa,diamonds,308,75,"Johannesburg, South Africa",South Africa,Married,1,"Bachelor of Arts/Science, Oxford U Christ Church; Master of Arts, Oxford U Christ Church",FALSE
David Reuben,7.7,United Kingdom,"investments, real estate",323,82,"London, United Kingdom",United Kingdom,Married,1,,TRUE
Simon Reuben,7.7,United Kingdom,"real estate, investments",323,80,"Monaco, Monaco",United Kingdom,Married,1,"Drop Out, Sir John Cass College, London",TRUE
Nancy Walton Laurie,7.5,United States,Walmart,334,69,"Henderson, Nevada",United States,Married,1,"Bachelor of Arts/Science, University of Memphis",FALSE
Carl Bennet,7.1,Sweden,investments,358,69,"Gothenberg, Sweden",Sweden,Married,1,"Master of Business Administration, University of Gothenburg",TRUE
Richard Kinder,7,United States,pipelines,369,76,"Houston, Texas",United States,Married,1,"Bachelor of Arts/Science, University of Missouri; Doctor of Jurisprudence, University of Missouri",TRUE
Aloys Wobben,6.8,Germany,wind turbines,384,69,"Aurich, Germany",Germany,Married,1,"Bachelor of Arts/Science, U of Oldenburg",TRUE
Wang Wenjing,6.6,China,business software,400,56,"Beijing, China",China,Married,1,"Bachelor of Arts/Science, Jiangxi University of Finance & Economics",TRUE
Chu Mang Yee & family,6.5,China,real estate,404,61,"Guangzhou, China",China,Married,1,,TRUE
Liu Yongxing,6.5,China,diversified,404,72,"Shanghai, China",China,Married,1,,TRUE
Horst Julius Pudwill,6.5,Germany,manufacturing,404,76,"Hong Kong, Hong Kong",Germany,Married,1,"Master of Science in Engineering, Technical College in Flensburg",TRUE
Andrei Kozitsyn,6.3,Russia,metals,421,60,"Verkhniaya Pyshma, Russia",Russia,Married,1,"Bachelor of Science in Engineering, Ural Polytechnic Institute",TRUE
Jiang Bin,6.2,China,acoustic components,432,54,"Weifang, China",China,Married,1,"Bachelor of Arts/Science, Beijing University of Aeronautics and Astronautics; Master of Business Administration, Tsinghua University",TRUE
Robert Brockman,6,United States,Software,451,79,"Houston, Texas",United States,Married,1,"Bachelor of Business Administration, University of Florida",TRUE
Daniel Dines,6,Romania,software,451,49,"New York, New York",Romania,Married,1,"Bachelor of Science, University of Bucharest; Master of Science, University of Bucharest",TRUE
Randa Duncan Williams,6,United States,pipelines,451,59,"Houston, Texas",United States,Married,1,"Bachelor of Arts/Science, Rice University; Doctor of Jurisprudence, University of Houston",FALSE
Daniel Ziff,5,United States,investments,561,49,"New York, New York",United States,Married,1,"Bachelor of Arts/Science, Columbia University",FALSE
Lin Li,4.9,China,investments,574,58,"Shenzhen, China",China,Married,1,"Chinese Academy of Social Sciences; Bachelor of Arts/Science, Hubei University of Technology",TRUE
Mark Walter,4.7,United States,finance,608,60,"Chicago, Illinois",United States,Married,1,"Bachelor of Arts/Science, Creighton University; Doctor of Jurisprudence, Northwestern University",TRUE
Ralph Dommermuth,4.3,Germany,internet service provider,665,57,"Montabaur, Germany",Germany,Married,1,,TRUE
Edwin Leong,4.3,Hong Kong,real estate,665,69,"Hong Kong, Hong Kong",Hong Kong,Married,1,,TRUE
Takao Yasuda,4.3,Japan,retail,665,72,"Singapore, Singapore",Japan,Married,1,"Bachelor of Arts/Science, Keio University",TRUE
Fu Liquan & family,4.2,China,surveillance equipment,680,53,"Hangzhou, China",China,Married,1,"Bachelor of Arts/Science, Zhejiang Shuren University; EMBA, Zhejiang University",TRUE
Rakesh Gangwal,3.9,United States,airline,752,67,"Miami, Florida",United States,Married,1,"Bachelor of Science in Engineering, Indian Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",TRUE
Mark Shoen,3.9,United States,U-Haul,752,70,"Phoenix, Arizona",United States,Married,1,,FALSE
David Filo,3.5,United States,Yahoo,859,55,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, Tulane University",TRUE
Sergei Galitsky,3.5,Russia,retail,859,53,"Krasnodar, Russia",Russia,Married,1,"Bachelor of Arts/Science, Kuban State University",TRUE
Romesh T. Wadhwani,3.5,United States,software,859,73,"Palo Alto, California",United States,Married,1,"Doctorate, Carnegie Mellon University; Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology, Bombay",TRUE
"William Conway, Jr.",3.4,United States,private equity,891,71,"McLean, Virginia",United States,Married,1,"Bachelor of Arts/Science, Dartmouth College",TRUE
Alexander Frolov,3.4,Russia,"mining, steel",891,56,"Moscow, Russia",Russia,Married,1,"Doctorate, Moscow Institute of Physics and Technology",TRUE
Kelcy Warren,3.4,United States,pipelines,891,65,"Dallas, Texas",United States,Married,1,"Bachelor of Arts/Science, University of Texas Arlington",TRUE
Senapathy Gopalakrishnan,3.3,India,software services,925,66,"Bangalore, India",India,Married,1,"Master of Science, Indian Institute of Technology",TRUE
Yuri Kovalchuk,3.3,Russia,"banking, insurance, media",925,69,"St. Petersburg, Russia",Russia,Married,1,"Doctorate, St Petersburg State University",TRUE
Zhang Li,3.2,China,real estate,956,68,"Guangzhou, China",China,Married,1,,TRUE
Ferit Faik Sahenk,3,Turkey,diversified,1008,57,"Istanbul, Turkey",Turkey,Married,1,"Bachelor of Arts/Science, Boston College",FALSE
Sybill Storz,3,Germany,medical devices,1008,84,"Leipzig, Germany",Germany,Married,1,,FALSE
Maggie Hardy Knox,2.9,United States,building materials,1064,55,"Belle Vernon, Pennsylvania",United States,Married,1,"Drop Out, West Virginia University",FALSE
Aneel Bhusri,2.8,United States,business software,1111,55,"San Francisco, California",United States,Married,1,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business",TRUE
Morris Chang,2.8,Taiwan,semiconductors,1111,89,"Hsinchu, Taiwan",Taiwan,Married,1,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology; Ph.D, Stanford University",TRUE
Valentin Gapontsev & family,2.8,United States,lasers,1111,82,"Worcester, Massachusetts",United States,Married,1,"Bachelor of Science in Engineering, Lviv Polytechnic National University; Ph.D, Moscow Institute of Physics and Technology",TRUE
Li Sze Lim,2.8,Hong Kong,real estate,1111,64,"Guangzhou, China",Hong Kong,Married,1,Chinese University of Hong Kong,TRUE
Valentin Kipyatkov,2.7,Russia,computer software,1174,44,"Prague, Czechia",Russia,Married,1,"Master of Science, Saint Petersburg State University",TRUE
Brian Acton,2.6,United States,WhatsApp,1205,49,"Palo Alto, California",United States,Married,1,"Bachelor of Arts/Science, Stanford University",TRUE
Raj Kumar & Kishin RK,2.6,Singapore,real estate,1205,66,"Singapore, Singapore",Singapore,Married,1,,FALSE
Kalanithi Maran,2.6,India,media,1205,55,"Chennai, India",India,Married,1,"Master of Business Administration, University of Scranton",TRUE
Wu Guangming,2.6,China,medical equipment,1205,59,"Danyang, China",China,Married,1,"EMBA, China Europe International Business School",TRUE
Andrei Bokarev,2.5,Russia,"metals, mining",1249,54,"Moscow, Russia",Russia,Married,1,"Bachelor of Arts/Science, Finance Academy under the Government of the Russian Federation",TRUE
Geng Jianming,2.4,China,real estate,1299,58,"Langfang, China",China,Married,1,"Master of Business Administration, Nanyang Technology University; Bachelor of Arts/Science, North China Institute of Astronautic Engineering",TRUE
Lawrence Ho,2.4,Hong Kong,casinos,1299,44,"Hong Kong, Hong Kong",Hong Kong,Married,1,"Bachelor of Arts/Science, University of Toronto",FALSE
Erwin Franz Mueller,2.4,Germany,drugstores,1299,88,"Ulm, Germany",Germany,Married,1,,TRUE
Dmitry Pumpyansky,2.4,Russia,steel pipes,1299,57,"Yekaterinburg, Russia",Russia,Married,1,"Master of Science, Ural State Technical University",TRUE
T.Y. Tsai,2.4,Taiwan,finance,1299,68,"Taipei, Taiwan",Taiwan,Married,1,"EMBA, National Taiwan University; Bachelor of Arts/Science, Tokai University",FALSE
Baba Kalyani,2.3,India,engineering,1362,72,"Pune, India",India,Married,1,"Master of Science, Massachusetts Institute of Technology",FALSE
Aristotelis Mistakidis,2.3,Greece,"mining, commodities",1362,59,"Zug, Switzerland",Greece,Married,1,"Bachelor of Arts/Science, London School of Economics",TRUE
Walther Moreira Salles Junior,2.3,Brazil,"banking, minerals",1362,65,"Rio de Janeiro, Brazil",Brazil,Married,1,"Bachelor of Arts/Science, University of Southern California",FALSE
Vijay Shekhar Sharma,2.3,India,financial technology,1362,42,"Delhi, India",India,Married,1,"Bachelor of Science in Engineering, Delhi University",TRUE
Sze Man Bok,2.3,China,hygiene products,1362,71,"Jinjiang, China",China,Married,1,,TRUE
Edward Bass,2.2,United States,"oil, investments",1444,75,"Fort Worth, Texas",United States,Married,1,"Bachelor of Arts/Science, Yale University",FALSE
Lau Cho Kun,2.2,Malaysia,"palm oil, property",1444,85,"Tawau, Sabah, Malaysia",Malaysia,Married,1,,FALSE
Li Shuirong,2.2,China,petrochemicals,1444,64,"Hangzhou, China",China,Married,1,,TRUE
Liang Xinjun,2.2,China,conglomerate,1444,53,"Shanghai, China",China,Married,1,"Bachelor of Arts/Science, Fudan University; Bachelor of Arts/Science, Fudan University",TRUE
Xiang Wenbo,2.2,China,manufacturing,1444,58,"Changsha, China",China,Married,1,"Master of Science, Dalian University of Technology",TRUE
Julio Bozano,2.1,Brazil,banking,1517,85,"Rio de Janeiro, Brazil",Brazil,Married,1,,TRUE
Sylvia Stroeher,2,Germany,cosmetics,1580,65,"Darmstadt, Germany",Germany,Married,1,,FALSE
Tang Xiuguo,2,China,manufacturing,1580,57,"Changsha, China",China,Married,1,"Bachelor of Arts/Science, Central South University",TRUE
Christopher Kwok,1.9,Hong Kong,real estate,1664,35,"Hong Kong, Hong Kong",Hong Kong,Married,1,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Stanford Graduate School of Business",FALSE
Kevin Systrom,1.9,United States,Instagram,1664,37,"San Francisco, California",United States,Married,1,"Bachelor of Arts/Science, Stanford University",TRUE
Todd Wagner,1.9,United States,online media,1664,60,"Dallas, Texas",United States,Married,1,"Bachelor of Arts/Science, Indiana University; Doctor of Jurisprudence, University of Virginia",TRUE
Zhu Xingliang,1.9,China,construction,1664,62,"Suzhou, China",China,Married,1,"Bachelor of Arts/Science, Suzhou University of Science and Technology",TRUE
Vladimir Bogdanov,1.8,Russia,oil,1750,69,"Surgut, Russia",Russia,Married,1,"Bachelor of Arts/Science, Tyumen Industrial Institute",TRUE
Lei Jufang,1.8,China,pharmaceuticals,1750,68,"Lanzhou, China",China,Married,1,"Bachelor of Arts/Science, Xi'an Jiaotong University",TRUE
Miao Shouliang,1.8,China,real estate,1750,66,"Shenzhen, China",China,Married,1,,TRUE
Marc Andreessen,1.7,United States,venture capital investing,1833,49,"Atherton, California",United States,Married,1,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",TRUE
Christopher Goldsbury,1.7,United States,salsa,1833,78,"San Antonio, Texas",United States,Married,1,"Bachelor of Arts/Science, Trinity University",FALSE
Said Gutseriev,1.7,Russia,"oil, retail",1833,33,"Moscow, Russia",Russia,Married,1,"Bachelor of Science, University of Oxford; Master, University of Plymouth (UK)",TRUE
Gary Michelson,1.7,United States,medical patents,1833,72,"Los Angeles, California",United States,Married,1,"Medical Doctor, Hahnemann Medical College; Bachelor of Arts/Science, Temple University",TRUE
Zhang Guiping & family,1.7,China,real estate,1833,69,"Nanjing, China",China,Married,1,"Bachelor of Arts/Science, South East University",TRUE
Jean-Pierre Cayard,1.6,France,spirits,1931,78,"Paris, France",France,Married,1,,FALSE
Susumu Fujita,1.6,Japan,internet media,1931,47,"Tokyo, Japan",Japan,Married,1,,TRUE
Jenny LindÌ©n Urnes,1.6,Sweden,powdered metal,1931,50,"Helsingborg, Sweden",Sweden,Married,1,,FALSE
David Mindus,1.6,Sweden,real estate,1931,49,"Stockholm, Sweden",Sweden,Married,1,"Master of Laws, Stockholm University",TRUE
Mario Moretti Polegato & family,1.6,Italy,shoes,1931,68,"Crocetta del Montello, Italy",Italy,Married,1,,TRUE
Leonid Simanovsky,1.6,Russia,investments,1931,71,"Moscow, Russia",Russia,Married,1,"Bachelor of Arts/Science, Kuibyshev Planning Institute",TRUE
Sun Weijie,1.6,China,oilfield equipment,1931,57,"Yantai, China",China,Married,1,"Bachelor of Arts/Science, Shandong Institute of Business and Technology",TRUE
John Farber,1.5,United States,chemicals,2035,95,"New York, New York",United States,Married,1,"Ph.D, Polytechnic Institute",TRUE
Christian Latouche,1.5,France,accounting services,2035,80,"Lyon, France",France,Married,1,,TRUE
Vladimir Litvinenko,1.5,Russia,chemical industry,2035,65,"Saint Petersburg, Russia",Russia,Married,1,"Master of Science, Saint Petersburg Mining University",TRUE
Radha Vembu,1.5,India,business software,2035,48,"Chennai, India",India,Married,1,"Bachelor of Arts/Economics, Indian Institute of Technology Madras (IIT Madras)",FALSE
Qi Jinxing,1.4,China,real estate,2141,59,"Hangzhou, China",China,Married,1,,TRUE
Mehmet Aydinlar,1.3,Turkey,hospitals,2263,64,"Istanbul, Turkey",Turkey,Married,1,,TRUE
Turgay Ciner,1.3,Turkey,diversified,2263,65,"Istanbul, Turkey",Turkey,Married,1,"Bachelor of Arts/Science, Istanbul Academy",TRUE
Michael Krasny,1.3,United States,retail,2263,67,"Highland Park, Illinois",United States,Married,1,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",TRUE
Igor Kudryashkin,1.3,Russia,metallurgy,2263,59,"Moscow, Russia",Russia,Married,1,"Ph.D, Moscow Institute of Steel and Alloys",TRUE
Bob Muglia,1.3,United States,software,2263,61,"Mercer Island, Washington",United States,Married,1,"Bachelor of Science, University of Michigan",TRUE
Thomas Sandell,1.3,Sweden,hedge funds,2263,60,"London, United Kingdom",Sweden,Married,1,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Uppsala University",TRUE
Whitney Wolfe Herd,1.3,United States,dating app,2263,31,"Austin, Texas",United States,Married,1,"Bachelor of Arts/Science, Southern Methodist University",TRUE
Zhou Chengjian,1.3,China,fashion retail,2263,56,"Shanghai, China",China,Married,1,"EMBA, Zhejiang University",TRUE
Sachin Bansal,1.2,India,flipkart,2378,39,"Bangalore, India",India,Married,1,"Bachelor of Science in Engineering, Indian Institute of Technology",TRUE
Cao Kejian,1.2,China,air compressors,2378,59,"Quzhou, China",China,Married,1,,TRUE
Hong Seok-joh,1.2,South Korea,convenience stores,2378,68,"Seoul, South Korea",South Korea,Married,1,"Master of Laws, Harvard University; Law Degree, Seoul National University",FALSE
Kim Dae-il,1.2,South Korea,mobile gaming,2378,41,"Anyang, South Korea",South Korea,Married,1,,TRUE
Kim Jung-woong,1.2,South Korea,cosmetics,2378,46,"Seoul, South Korea",South Korea,Married,1,"Associate in Arts/Science, Daelim University",TRUE
Liu Gexin & family,1.2,China,pharmaceuticals,2378,69,"Chengdu, China",China,Married,1,"Medical Doctor, Chongqing Universtiy",TRUE
Alexander Samwer,1.2,Germany,tech investments,2378,46,"Munich, Germany",Germany,Married,1,"Master of Business Administration, Harvard Business School; Master of Arts, Oxford University",TRUE
Winarko Sulistyo,1.2,Indonesia,paper and pulp,2378,75,"Jakarta, Indonesia",Indonesia,Married,1,,TRUE
Thongma Vijitpongpun,1.2,Thailand,real estate,2378,63,"Bangkok, Thailand",Thailand,Married,1,,TRUE
Soichiro Fukutake,1.1,Japan,education,2524,75,"Auckland, New Zealand",Japan,Married,1,"Bachelor of Arts/Science, Waseda University",FALSE
Rahul Gautam,1.1,India,mattresses,2524,68,"Delhi, India",India,Married,1,,FALSE
Wen Yibo & family,1.1,China,wastewater treatment,2524,55,"Beijing, China",China,Married,1,"Bachelor of Arts/Science, Lanzhou Railway College; Master of Science, Tsinghua University",TRUE
Baiju Bhatt,1,United States,stock trading app,2674,36,"Palo Alto, California",United States,Married,1,"Bachelor of Science, Stanford University",TRUE
Bom Kim,1,United States,online retailing,2674,42,"Seoul, South Korea",United States,Married,1,"Bachelor of Arts/Science, Harvard University",TRUE
Masatoshi Kumagai,1,Japan,internet services,2674,57,"Tokyo, Japan",Japan,Married,1,"Drop Out, Osgoode Hall Law School",TRUE
Sergei Makhlai,1,Russia,fertilizers,2674,52,"Chapel Hill, North Carolina",Russia,Married,1,"Master of Science, Perm Polytechnical Institute",FALSE
Shin Dong-joo,1,South Korea,retail,2674,67,"Tokyo, Japan",South Korea,Married,1,"Bachelor of Arts/Economics, Aoyama Gakuin University; Master of Business Administration, Columbia Business School",FALSE
Zakhar Smushkin,1,Russia,"pulp and paper, diversified",2674,59,"Saint Petersburg, Russia",Russia,Married,1,"Master of Science, Leningrad Technological Institute of Pulp and Paper Industry",TRUE
Vlad Tenev,1,United States,stock trading,2674,34,"Palo Alto, California",United States,Married,1,"Bachelor of Arts/Science, Stanford University",TRUE
"Theo Albrecht, Jr. & family",18.8,Germany,"Aldi, Trader Joe's",98,70,"Mulheim an der Ruhr, Germany",Germany,Not given,1,,FALSE
Dietrich Mateschitz,26.9,Austria,Red Bull,56,76,"Fuschl am See, Austria",Austria,Single,1,"Master of Business Administration, University of Vienna",TRUE
John de Mol,2,Netherlands,TV programs,1580,66,"Blaricum, Netherlands",Netherlands,Single,1,,TRUE
Frederic Luddy,1.2,United States,software,2378,66,"San Diego, California",United States,Single,1,"Drop Out, Indiana University",TRUE
Cyrus Poonawalla,12.7,India,vaccines,169,79,"Pune, India",India,Widowed,1,"Bachelor of Arts/Science, Pune University; Doctorate, Pune University",FALSE
Christy Walton,7.2,United States,Walmart,352,72,"Jackson, Wyoming",United States,Widowed,1,,FALSE
David Walentas,2.2,United States,real estate,1444,82,"New York, New York",United States,Widowed,1,"Bachelor of Arts/Science, University of Virginia",TRUE
Peter Buck,1.7,United States,Subway sandwich shops,1833,90,"Danbury, Connecticut",United States,Widowed,1,"Bachelor of Arts/Science, Bowdoin College; Doctorate, Columbia University; Master of Arts, Columbia University",TRUE
Anu Aga,1.4,India,engineering,2141,78,"Pune, India",India,Widowed,1,"Bachelor of Arts/Science, Bombay University",FALSE
Walter Faria,2.9,Brazil,beer,1064,66,"Rio de Janeiro, Brazil",Brazil,Not given,1,,TRUE
Romano Minozzi,1.8,Italy,"utilities, diversified",1750,86,"Spilamberto, Italy",Italy,Not given,1,"Bachelor of Commerce, University of Bologna",TRUE
Alexandra Daitch,1.7,United States,Cargill,1833,58,"Old Lyme, Connecticut",United States,Not given,1,,FALSE
Wolfgang Egger,1.2,Germany,real estate,2378,55,"Augsburg, Germany",Germany,Not given,1,,TRUE
Stefano Pessina,9.7,Italy,drugstores,234,79,"Monte Carlo, Monaco",Italy,Divorced,2,"Bachelor of Engineering, Politecnico di Milano",FALSE
Blair Parry-Okeden,9.4,United States,"media, automotive",247,70,"New South Wales, Australia",United States,Divorced,2,"Diploma, High School; Bachelor of Arts/Science, University of Denver",FALSE
Jay Y. Lee,8.3,South Korea,Samsung,297,52,"Seoul, South Korea",South Korea,Divorced,2,"Master of Business Administration, Keio University; Bachelor of Arts/Science, Seoul National University",FALSE
Dmitry Rybolovlev,6.7,Russia,fertilizer,391,54,"Monaco, Monaco",Russia,Divorced,2,"Medical Doctor, Perm Medical Institute",TRUE
Maria Asuncion Aramburuzabala & family,5.8,Mexico,"beer, investments",476,58,"Mexico City, Mexico",Mexico,Divorced,2,"Bachelor of Arts/Science, Instituto TecnolÌ_gico AutÌ_nomo de MÌ©xico",FALSE
Giuseppe De'Longhi & family,5.2,Italy,coffee makers,539,82,"Treviso, Italy",Italy,Divorced,2,"Bachelor of Arts/Economics, UniversitÌÊ CÌÊ Foscari di Venezia",FALSE
Matthew Calkins,4.1,United States,software,705,48,"Rosslyn, Virginia",United States,Divorced,2,"Bachelor of Arts/Economics, Dartmouth College",TRUE
Gabe Newell,4.1,United States,videogames,705,58,"Seattle, Washington",United States,Divorced,2,"Drop Out, Harvard University",TRUE
Gwendolyn Sontheim Meyer,4,United States,Cargill,727,59,"Rancho Santa Fe, California",United States,Divorced,2,,FALSE
Oleg Deripaska,3.8,Russia,"aluminum, utilities",775,53,"Moscow, Russia",Russia,Divorced,2,"Bachelor of Arts/Science, Moscow State University",TRUE
Hans Georg Naeder,3.8,Germany,prosthetics,775,59,"Duderstadt, Germany",Germany,Divorced,2,,FALSE
Mary Alice Dorrance Malone,3.7,United States,Campbell Soup,807,71,"Coatesville, Pennsylvania",United States,Divorced,2,"Bachelor of Arts/Science, University of Arizona",FALSE
"Austen Cargill, II.",3.6,United States,Cargill,831,70,"Livingston, Montana",United States,Divorced,2,"Doctorate, Oregon State University; Bachelor of Arts/Science, University of Minnesota; Master of Science, University of Minnesota",FALSE
B. Wayne Hughes,3.3,United States,self storage,925,87,"Lexington, Kentucky",United States,Divorced,2,"Bachelor of Arts/Science, University of Southern California",TRUE
Hans Peter Wild,3.3,Switzerland,flavorings,925,79,"Zug, Switzerland",Switzerland,Divorced,2,,FALSE
Thai Lee,3.2,United States,IT provider,956,62,"Austin, Texas",United States,Divorced,2,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard Business School",TRUE
Sid Bass,2.9,United States,"oil, investments",1064,79,"Fort Worth, Texas",United States,Divorced,2,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University",FALSE
T. Denny Sanford,2.8,United States,"banking, credit cards",1111,85,"Sioux Falls, South Dakota",United States,Divorced,2,"Bachelor of Arts/Science, University of Minnesota",TRUE
Mortimer Zuckerman,2.7,United States,"real estate, media",1174,83,"New York, New York",United States,Divorced,2,"LLM, Harvard University; Bachelor of Arts/Science, McGill University; Master of Business Administration, University of Pennsylvania, The Wharton School",TRUE
Robert Miller,2.4,United Kingdom,retail,1299,75,"Montreal, Canada",Canada,Divorced,2,"Bachelor of Arts/Science, Rider University",TRUE
Stewart Horejsi & family,2.3,United States,Berkshire Hathaway,1362,83,"Phoenix, Arizona",United States,Divorced,2,,TRUE
Stewart Rahr,2.3,United States,drug distribution,1362,75,"New York, New York",United States,Divorced,2,"Bachelor of Arts/Science, New York University",FALSE
Elaine Wynn,2.3,United States,"casinos, hotels",1362,79,"Las Vegas, Nevada",United States,Divorced,2,"Bachelor of Arts/Science, George Washington University",TRUE
Leo Koguan,2.2,United States,IT provider,1444,66,"Sugar Land, Texas",United States,Divorced,2,"Master, Columbia University; Law Degree, New York Law School",TRUE
Dominika Kulczyk,2.1,Poland,diversified,1517,43,"Warsaw, Poland",Poland,Divorced,2,"Master, University of Poznan",FALSE
Robert Miller,2,Canada,electronics components,1580,75,"Montreal, Canada",Canada,Divorced,2,"Bachelor of Arts/Science, Rider University",TRUE
Hope Welker,1.7,Australia,mining,1833,35,"New York, New York",Australia,Divorced,2,,FALSE
Torstein Hagen,1.5,Norway,cruises,2035,78,"Lucerne, Switzerland",Norway,Divorced,2,,TRUE
Thomas Duff,1.4,United States,"tires, diversified",2141,64,"Hattiesburg, Mississippi",United States,Divorced,2,"Bachelor of Arts/Science, University of Southern Mississippi",TRUE
Jayme Garfinkel,1.4,Brazil,insurance,2141,75,"Sao Paulo, Brazil",Brazil,Divorced,2,"Master of Business Administration, Fundacao Getulio Vargas; Bachelor of Arts/Science, Universidade de Sao Paulo",FALSE
Judith Neilson,1.4,Australia,investments,2141,75,"Sydney, Australia",Australia,Divorced,2,,FALSE
